['Edge-LiveTX-B10', 'DS_MC_SLO_SATA_SFC01/.snapshot']
['MC-HOR-CV-vZMBOX19', 'DS_MC_SLO_SAS_CV_Zimbra/.snapshot']
['FC-SLODC02.int.fibercorp.com.ar', 'DS_MC_SLO_SATA_SFC01/.snapshot']
['FC-MC-HOR-VCOBIL01', 'DS_MC_HOR_CloudManagement/.snapshot']
['Vorterix-ServerApache08-SLO', 'DS_MC_SLO_SATA_SFC01/.snapshot']
['RMITRE_CRVN06', 'DS_MC_SLO_SAS_SDC_Grupo/.snapshot']
['CASSPR64CLI-01', 'DS_MC_HOR_SAS_NMS/CASSPR64CLI-01']
['CAOC64CLI-01', 'DS_MC_HOR_SAS_NMS/CAOC64CLI-01']
['Edge-MC-MS-HOR16', 'DS_MC_HOR_CloudManagement/.snapshot']
['CASSPR64CLI-02', 'DS_MC_SLO_SAS_NMS/CASSPR64CLI-02']
['RMITRE_BUECRP03', 'DS_MC_SLO_SAS_SDC_Grupo/RMITRE_BUECRP03']
['RMITRE_BUECRE08', 'DS_MC_SLO_SAS_SDC_Grupo/.snapshot']
['FC-Avamar-Gateway', 'DS_MC_HOR_CloudManagement/.snapshot']
['FC-Avamar-PM', 'DS_MC_HOR_CloudManagement/.snapshot']
['FC-MC-SLO-N1Kv', 'DS_MC_SLO_CloudManagement/.snapshot']
['CAUIM-LABHUBS01', 'DS_MC_HOR_SAS_NMS/CAUIM-LABHUBS01']
['FC-MC-HOR-VACAW01', 'DS_MC_HOR_CloudManagement/.snapshot']
['MC-SLO-CV-vZMBOX08', 'DS_MC_SLO_SAS_CV_Zimbra/.snapshot']
['MC-SLO-CV-vZLDAP02', 'DS_MC_SLO_SAS_CV_Zimbra/.snapshot']
['DPA Datastore', 'DS_MC_SLO_SATA_SFC01/.snapshot']
['FC-MC-HOR-IAPP', 'DS_MC_HOR_CloudManagement/.snapshot']
['CASSFT64CLI-01', 'DS_MC_HOR_SAS_NMS/CASSFTCLI-01']
['RMITRE_BUECRE01', 'DS_MC_SLO_SAS_SDC_Grupo/.snapshot']
['MC-SLO-CV-vZPROXY02', 'DS_MC_SLO_SAS_CV_Zimbra/.snapshot']
['Vorterix-ServerApache08', 'DS_MC_SLO_SATA_SFC01/.snapshot']
['MC-SLO-CV-vZMBOX10', 'DS_MC_SLO_SAS_CV_Zimbra/.snapshot']
['Edge-LiveTX-B19', 'DS_MC_SLO_SATA_SFC01/.snapshot']
['FC-MC-HOR-MSDO01', 'DS_MC_HOR_CloudManagement/.snapshot']
